"Account number","Kontonummer"
"Bank code","Bankleitzahl"
"Holder","Kontoinhaber"
"Amount","Betrag"
"Transaction Id: %s","Interne Transaktions-ID von SOFORT AG: %s (bitte angeben bei Support-Anfragen)."
"click to download invoice","Klicken Sie hier um die Rechnung herunterzuladen."
"Transaction Id","Transaktions-ID"
"Order No.: ","Bestellnummer"
"Payment was successful.","Zahlung erfolgreich. Ihre Transaktions-ID: %s"
"Payment successfull. Invoice needs to be confirmed."," Bestellung mit Kauf auf Rechnung erfolgreich übermittelt. Bestätigung durch Händler noch nicht erfolgt. Ihre Transaktions-ID: %s"
"Payment was not successfull","Es ist ein Fehler während der Bestellung aufgetreten."
"Sofortueberweisung payment loaded.","SOFORT Überweisung als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"Vorkasse by sofort payment loaded.","Vorkasse by SOFORT als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"sofortlastschrift payment loaded.","SOFORT Lastschrift als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"Lastschrift by sofort payment loaded.","Lastschrift by SOFORT als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"Rechnung by SOFORT payment loaded.","Kauf auf Rechnung als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"Please fill out the account holder","Bitte füllen Sie die Felder Kontonummer, Bankleitzahl und Kontoinhaber vollständig aus."
"Please fill out the account number","Bitte füllen Sie die Felder Kontonummer, Bankleitzahl und Kontoinhaber vollständig aus."
"Please fill out the bank code","Bitte füllen Sie die Felder Kontonummer, Bankleitzahl und Kontoinhaber vollständig aus."
"Cancelation of payment","Die gewählte Zahlart ist leider nicht möglich oder wurde auf Kundenwunsch abgebrochen. Bitte wählen Sie eine andere Zahlweise."
"Customer returned successfully","Kunde kehrte erfolgreich von sofort.com zurück"
"Project password","Projekt-Passwort"
"Notification password","Benachrichtigungs-Passwort"
"Create Invoice","Generiere Rechnung nach Zahlung"
"Projekt Id","Projekt-Nummer"
"User Id","Kundennummer"
"Sofortueberweisung","SOFORT Überweisung"
"customer protection","SOFORT Überweisung mit Käuferschutz"
"Direct payment method of Payment Network AG.","SOFORT Überweisung ist der kostenlose, TÜV-zertifizierte Zahlungsdienst der SOFORT AG."
"Rechnung by sofort","Rechnung by SOFORT"
"Orders with Rechnung by sofort","Bestl. mit Rechnung by SOFORT"
"Rechnung","Kauf auf Rechnung"
"Invoice with payment guarantee.","Kauf auf Rechnung mit Zahlungsgarantie."
"sofortlastschrift","SOFORT Lastschrift"
"Secure direct debit system.","Das sichere Lastschriftverfahren der SOFORT AG."
"Vorkasse by sofort","Vorkasse by SOFORT"
"Vorkasse","Vorkasse"
"Automated money order system.","Vorkasse mit automatisiertem Zahlungsabgleich."
"Lastschrift by sofort","Lastschrift by SOFORT"
"Lastschrift","Bankeinzug (Lastschrift)"
"Lastschriftverfahren","Automatisiertes Lastschriftverfahren der SOFRT AG."
"sofortueberweisung and other sofort-products","SOFORT Überweisung und andere SOFORT-Produkte"
"More","mehr Informationen"
"Error while saving this configuration: ","Fehler beim speichern.: "
"Item was successfully saved","erfolgreich gespeichert."
"Item was successfully saved, order can not change","erfolgreich übermittelt, Bestellung konnte nicht angepasst werden"
"Edit Cart","Warenkorb bearbeiten"
"Update Invoice","bearbeitete Rechnung speichern"
"Your benefit:","Ihre Vorteile:"
"Certified payment method","<ul><li>Zahlungssystem mit TÜV-geprüftem Datenschutz</li><li>Keine Registrierung notwendig</li><li>Ware/Dienstleistung wird bei Verfügbarkeit sofort versendet</li><li>Bitte halten Sie Ihre Online-Banking-Daten (PIN/TAN) bereit</li></ul>"
"Certified payment method, direct debit","<ul><li>Zahlungssystem mit TÜV-geprüftem Datenschutz</li><li>Keine Registrierung notwendig</li><li>Ware/Dienstleistung kann sofort versendet werden</li><li>Bitte halten Sie Ihre Online-Banking-PIN bereit</li></ul>"
"Help","Hilfe"
"Learn More","mehr Informationen"
"Sort sequence","Anzeigereihenfolge"
"Activate module","Modul aktiviert"
"Label","Bezeichnung"
"Payment from applicable countries","Länder einschränken"
"Payment from Specific countries","Länder einschränken"
"Money received.","Zahlungseingang. "
"Customer returned payment","Zu dieser Transaktion liegt eine Rücklastschrift vor.  "
"Please pay to the following account","Bitte benutzen Sie folgende Überweisungdaten"
"Your order # is: %s.","Ihre Bestellnummer lautet: %s."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Sie erhalten eine Bestätigungs per E-Mail mit den Details Ihrer Bestellung und einem Link zum Bearbeitungsstatus."
"Reason","Verwendungszweck"
"Reason 2","Verwendungszweck 2"
"Please confirm our privacy policy.","Bitte die Datenschutzhinweise akzeptieren."
"The invoice has been canceled.","Die Rechnung wurde storniert. Gutschrift erstellt."
"Configuration key","Konfigurationsschlüssel"
"Successfully confirmed invoice: %s","%s"
"Successfully canceled invoice: %s","Die Rechnung wurde storniert %s"
"Successfully canceled invoice. Credit memo created: %s","Die Rechnung wurde storniert. Gutschrift erstellt. %s"
"Banner or text","Banner oder Text bei der Auswahl der Zahlungsoptionen"
"All products deactivated due to errors, initiation aborted.","Der Vorgang wurde auf Grund von Fehlern abgebrochen."
"Must not be empty.","Die Daten sind unvollständig oder fehlerhaft. Bitte korrigieren Sie diese oder kontaktieren Sie den Shopbetreiber."
"Not in list of valid values.","Nicht im Bereich gültiger Werte."
"Must be a positive number.","Wert muss positiv sein."
"Unsupported currency.","Es werden im Moment nur Bestellungen in Euro unterstützt. Bitte korrigieren Sie dies und versuchen es dann erneut."
"Amount is out of range.","Der Gesamtbetrag ist zu groß oder zu klein. Bitte korrigieren Sie dies oder kontaktieren Sie den Shopbetreiber."
"Invalid characters.","Unbekannte Zeichen."
"Maximum length of 27 characters exceeded.","Maximale Anzahl an Zeichen überschritten (max. 27)."
"Invalid email address.","Die Bestellung kann aufgrund fehlerhafter E-Mail-Adresse nicht durchgeführt werden. Bitte korrigieren Sie diese und versuchen Sie es dann erneut."
"Invalid phone number.","Die Bestellung kann aufgrund fehlerhafter Telefonnummer nicht durchgeführt werden. Bitte korrigieren Sie diese und versuchen Sie es dann erneut."
"Invalid country code.","Die Länderkennung wird nicht unterstützt,  bitte wenden Sie sich an Ihren Shopbetreiber."
"Unsupported country code.","Die angegebene BIC ist nicht gültig."
"Invalid BIC.","Die Bestellung kann aufgrund fehlerhafter BIC (Bank Identifier Code) nicht durchgeführt werden. Bitte korrigieren Sie diese und versuchen Sie es dann erneut."
"Only German addresses (DE) are supported.","Die Bestellung kann aufgrund fehlerhafter Länderkennung nicht durchgeführt werden. Die Liefer-/Rechnungsadresse muss in Deutschland liegen. Bitte korrigieren Sie diese und versuchen Sie es dann erneut."
"Product only supports German sender accounts.","Es werden nur deutsche Konten unterstützt. Bitte korrigieren Sie dies oder wählen Sie eine andere Zahlart."
"Invoice amount exceeds amount limit in factoring contract.","Der Gesamtbetrag ist zu hoch. Bitte korrigieren Sie dies und versuchen es dann erneut."
"Invoice amount is lower than minimum amount defined in project settings.","Der Gesamtbetrag ist zu niedrig. Bitte korrigieren Sie dies und versuchen es dann erneut."
"Invalid tax, allowed values are: 7, 19.","Wert für Mehrwertsteuer fehlerhaft. Gültige Werte: 0, 7, 19."
"Validation of given bank account and bank code failed.","Die Validierung des Bankkontos und der Bankleitzahl ist fehlgeschlagen."
"Maximum length of 255 characters exceeded.","Die maximale Anzahl von 255 Zeichen wurde überschritten."
"Invalid items found.","Die Anfrage enthielt ungültige Warenkorbpositionen. Bitte korrigieren Sie dies oder kontaktieren Sie den Shopbetreiber."
"Payment not possible with this service.","Bitte geben Sie mindestens den Kontoinhaber an und versuchen Sie es dann erneut."
"Transaction with same data already created.","Eine Transaktion mit den von Ihnen übermittelten Daten existiert bereits."
"This service is currently only accessible by non-commercial customers.","Kauf auf Rechnung steht momentan nur Privatkunden zur Verfügung."
"Version Number","Versionsnummer"
"https://images.sofort.com/de/su/landing.php","https://images.sofort.com/de/su/landing.php"
"https://images.sofort.com/de/su/banner_150x200.png","https://images.sofort.com/de/su/banner_150x200.png"
"https://images.sofort.com/de/sl/logo_155x50.png","https://images.sofort.com/de/sl/logo_155x50.png"
"https://images.sofort.com/de/sl/banner_300x100.png","https://images.sofort.com/de/sl/banner_300x100.png"
"https://images.sofort.com/de/su/logo_155x50.png","https://images.sofort.com/de/su/logo_155x50.png"
"https://images.sofort.com/de/su/banner_400x100_ks.png","https://images.sofort.com/de/su/banner_400x100_ks.png"
"https://images.sofort.com/de/su/banner_300x100.png","https://images.sofort.com/de/su/banner_300x100.png"
"Kauf auf Rechnung not allowed for downloadable or virtual products","Virtuelle Produkte können nicht mit Kauf auf Rechnung bezahlt werden."
"Successfully edit invoice.","Rechnung erfolgreich bearbeitet."
"Could not edit invoice.","Rechnung kann nicht bearbeitet werden."
"The invoice has been edit.","Die Rechnung wurde angepasst."
"quantity increase is not allowed","Sie können nicht mehr Artikel hinzufügen"
"price increase is not allowed","Sie können den Preis nicht erhöhen"
"your invoice amount will automatically be deducted from your your bank account.","Ihr Bankkonto wird automatisch per Lastschrift belastet"
"number","Rechnungsnummer"
"bank_holder","Kontoinhaber"
"bank_account_number","Kontonummer"
"bank_code","Bankleitzahl"
"bank_name","Kreditinstitute"
"reason","Verwendungszweck"
"date","Rechnungsdatum"
"due_date","Fälligkeit"
"debitor_text","Text zur Forderungsabtretung"
"Amount increase not allowed","Der Rechnungsbetrag darf nicht höher sein als der ursprüngliche Betrag."
"Amount have to be positive","Der Rechnungsbetrag muss positiv sein."
"Invoice will be canceled","Achtung: Die Rechnung wird jetzt komplett storniert."
"Old Amount:","Vorheriger Gesamtpreis:"
"New Amount:","Neuer Gesamtpreis:"
"Holding order status","Temporärer Bestellstatus (Definieren Sie den Status für Bestellungen, die noch nicht bezahlt wurden.)"
"Confirmed order status","Bestätigter Bestellstatus (Definieren Sie den Status für Bestellungen, die mit SOFORT Überweisungen erfolgreich abgeschlossen wurden.)"
"Loss order status","Bestellstatus bei nicht erfolgter Zahlung (Definieren Sie den Status für Bestellungen, die einer Überprüfung bedürfen.)"
"Refund order status","Bestellstatus bei Teil-Rückerstattung (Definieren Sie den Status für Bestellungen, die teilweise erstattet werden.)"
"Unconfirmed order status","Definieren Sie den Status für Bestellungen, die vom Anbieter bestätigt werden müssen (um den Forderungsankauf zu vollziehen)."
"Confirmed invoice order status","Bestätigter Bestellstatus (Definieren Sie den Status für Bestellungen, die vom Anbieter bestätigt wurden.)"
"reason_help","Folgende Platzhalter sind erlaubt:
<ul><li>Bestellnummer: {{ordernr}}</li>
<li>Kundenname: {{name}}</li>
<li>Datum: {{date}}</li>
<li>Shopname: {{shopname}}</li>
<li>Transaction: {{transaction}}</li></ul>"
