"Bank Prepayment","Vorkasse"
"Pay within X days","Zahlen in X Tagen"
"Please transfer the money within %s days to the following bank account","Bitte überweisen Sie das Geld innerhalb von %s Tagen auf das folgende Bankkonto"
"Please transfer the money to the following bank account","Bitte überweisen die das Geld auf das folgende Bankkonto"
"Please transfer the money within %s days to one of the following bank accounts","Bitte überweisen Sie das Geld innerhalb von %s Tagen auf eines der folgenden Bankkonten"
"Please transfer the money to one of the following bank accounts","Bitte überweisen Sie das Geld auf eines der folgenden Bankkonten"
"Account holder","Kontoinhaber"
"Account number","Kontonummer"
"Account number1","Kontonummer"
"Sort code","BLZ"
"Bank name","Banknamme"
"For international transfers please use the following data","Für internationale Zahlungen, verwenden Sie folgende Daten"
"IBAN","IBAN"
"BIC","BIC"
"Account info","Kontoinformationen"
"International","International"
"Custom text","Custom text"
"More information on this payment method can be found <a target=""_blank"" href=""%s"">here</a>.","Mehr Informationen über diese Zahlart finden Sie <a target=""_blank"" href=""%s"">hier</a>."
"Bank Account holder","Kontoinhaber"
"Bank Account number","Kontonummer"
"Bank Sort code","BLZ"
"Bank Accounts","Bankkonten"
"Add Bank Account","Konto hinzufügen"
"Delete Account","Konto löschen"
"Add your bank accounts data","Fügen Sie Ihre Kontodaten hinzu"
"Form CMS Page","Form CMS Page"
"Choose CMS page to display a link instead of the bank accounts in the payment form","Choose CMS page to display a link instead of the bank accounts in the payment form"
"Show bank accounts in PDF","Kontodaten in der PDF anzeigen"
"Show custom text in PDF","Text in der PDF anzeigen"