"Costs for inland shipping","Kosten für Inlandversand"
"Costs for shipping to foreign countries","Kosten für Auslandsversand"
"Custom text for checkout page","Benutzerdefinierter Text"
"Cash on Delivery","Nachnahme"
"Cash on Delivery fee","Nachnahmegebühr"
"You will be charged an extra fee of %s.","Es wird eine Nachnahmegebühr von %s berechnter."
"Incl. Tax","Inkl. MwSt."
"Cash on Delivery fee (Excl.Tax)","Nachnahmegebühr (zzgl.MwSt.)"
"Cash on Delivery fee (Incl.Tax)","Nachnahmegebühr (Inkl.MwSt.)"
"Cash on Delivery fee %s","Nachnahmegebühr %s"
"Refund Cash on Delivery fee","Rückerstattung Nachnahmegebühr"
"Cost calculation","Cost calculation"
"Fixed","Fixed"
"Percentage","Prozentual"
"Cost calculation base","Kostenberechnungsgrundlage"
"Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation.","Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation."
"Refund Cash on Delivery fee","Rückerstattung Nachnahmegebühr"