"Account number","Numer konta"
"Bank code","Numer rozliczeniowy banku "
"Holder","Właściciel konta"
"Amount","Kwota "
"Transaction Id: %s","Wewnętrzny numer transakcji SOFORT AG: %s (podaj w przypadku pytań do działu obsługi klienta)."
"click to download invoice","Kliknij tutaj, aby pobrać rachunek."
"Transaction Id","ID transakcji "
"Order No.: ","Numer zamówienia"
"Payment was successful.","Zapłata została zrealizowana pomyślnie. Twoje ID transakcji: %s"
"Payment successfull. Invoice needs to be confirmed.","Zamówienie z zakupem na rachunek zostało przekazane pomyślnie. Nie odnotowano jeszcze potwierdzenia sprzedawcy. Twoje ID transakcji: %s"
"Payment was not successfull","Podczas realizacji zamówienia wystąpił błąd. "
"Sofortueberweisung payment loaded.","Wybrałeś SOFORT Banking jako metodę płatności. Transakcja nie została zakończona. "
"Vorkasse by sofort payment loaded.","Wybrałeś Vorkasse by SOFORT jako metodę płatności. Transakcja nie została zakończona."
"sofortlastschrift payment loaded.","Wybrałeś SOFORT Lastschrift jako metodę płatności. Transakcja nie została zakończona. "
"Lastschrift by sofort payment loaded.","Wybrałeś Lastschrift by SOFORT jako metodę płatności. Transakcja nie została zakończona."
"Rechnung by SOFORT payment loaded.","Wybrałeś zamówienie z zakupem na rachunek jako metodę płatności. Transakcja nie została zakończona."
"Please fill out the account holder","Wypełnij kompletnie pola numer konta, numer rozliczeniowy banku i właściciel konta. "
"Please fill out the account number","Wypełnij kompletnie pola numer konta, numer rozliczeniowy banku i właściciel konta. "
"Please fill out the bank code","Wypełnij kompletnie pola numer konta, numer rozliczeniowy banku i właściciel konta. "
"Cancelation of payment","Wybrana metoda płatności nie jest niestety możliwa lub została przerwana na życzenie klienta. Wybierz inną metodę płatności. "
"Customer returned successfully","Klient wrócił pomyślnie ze strony sofort.com "
"Project password","Hasło projektu "
"Notification password","Hasło do powiadomień "
"Create Invoice","Wygeneruj rachunek po dokonaniu zapłaty "
"Projekt Id","Numer projektu "
"User Id","Numer klienta"
"Sofortueberweisung","SOFORT Banking"
"customer protection","SOFORT Banking z ochroną kupującego "
"Direct payment method of Payment Network AG.","SOFORT Banking jest to bezpłatna i certyfikowana przez TÜV (Niemieckie Stowarzyszenie Nadzoru Technicznego) usługa płatności firmy SOFORT AG. "
"Rechnung by sofort","Rechnung by SOFORT"
"Orders with Rechnung by sofort","Zamówienie z Rechnung by SOFORT"
"Rechnung","Zakup na rachunek"
"Invoice with payment guarantee.","Zakup na rachunek z gwarancją zapłaty."
"sofortlastschrift","SOFORT Lastschrift"
"Secure direct debit system.","Bezpieczna procedura polecenia zapłaty firmy SOFORT AG."
"Vorkasse by sofort","Vorkasse by SOFORT"
"Vorkasse","Płatność z góry "
"Automated money order system.","Płatność z góry z automatycznym potwierdzeniem wpłaty."
"Lastschrift by sofort","Lastschrift by SOFORT"
"Lastschrift","Obciążenie rachunku (polecenie zapłaty) "
"Lastschriftverfahren","Automatyczna procedura polecenia zapłaty firmy SOFORT AG."
"sofortueberweisung and other sofort-products","SOFORT Banking i inne produkty SOFORT "
"More","więcej informacji "
"Error while saving this configuration: ","Błąd podczas zapisywania danych.: "
"Item was successfully saved","dane zostały zapisane pomyślnie. "
"Item was successfully saved, order can not change","przekazano pomyślnie, zamówienie nie mogło zostać dopasowane. "
"Edit Cart","Opracować koszyk "
"Update Invoice","zapisać opracowaną fakturę "
"Your benefit:","Twoje korzyści: "
"Certified payment method","<ul><li>Atestowana przez TÜV (Niemieckie Stowarzyszenie Nadzoru Technicznego) ochrona danych osobowych</li><li>Brak konieczności rejestracji klienta</li><li>Dostępny towar/usługa zostaną natychmiast wysłane</li><li>Przygotuj Twoje dane bankowości internetowej (hasło i jednorazowy kod weryfikacyjny)</li></ul>"
"Certified payment method, direct debit","<ul><li> System płatności z atestowaną przez TÜV (Niemieckie Stowarzyszenie Nadzoru Technicznego) ochroną danych osobowych </li><li> Brak konieczności rejestracji klienta </li><li> Towar/usługa mogą zostać natychmiast wysłane</li><li>Przygotuj hasło logowania do Twojej bankowości internetowej</li></ul>"
"Help","Pomoc "
"Learn More","więcej informacji "
"Sort sequence","Kolejność wyświetlania "
"Activate module","Moduł aktywowany "
"Label","Nazwa "
"Payment from applicable countries","Ograniczyć kraje"
"Payment from Specific countries","Ograniczyć kraje"
"Money received.","Nadejście płatności. "
"Customer returned payment","Transakcja ta obciążona jest zwrotnym poleceniem obciążenia konta.  "
"Please pay to the following account","Użyj następujących danych przelewu"
"Your order # is: %s.","Numer Twojego zamówienia: %s."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Otrzymasz potwierdzenie e-mailem odnośnie szczegółów Twojego zamówienia oraz link internetowy z informacją o statusie realizacji."
"Reason","Tytuł przelewu "
"Reason 2","Tytuł przelewu 2"
"Please confirm our privacy policy.","Potwierdź, że zapoznałeś się z treścią pouczenia dot. ochrony danych osobowych."
"The invoice has been canceled.","Faktura została anulowana. Zapis na koncie został wygenerowany. "
"Configuration key","Klucz konfiguracyjny"
"Successfully confirmed invoice: %s","%s"
"Successfully canceled invoice: %s","Faktura została anulowana %s"
"Successfully canceled invoice. Credit memo created: %s","Faktura została anulowana. Zapis na koncie został wygenerowany. %s"
"Banner or text","Baner lub tekst przy wyborze metod płatności "
"All products deactivated due to errors, initiation aborted.","Proces został przerwany z powodu wystąpienia błędów. "
"Must not be empty.","Dane są niepełne lub błędne. Prosimy o poprawienie ich lub o kontakt ze sprzedawcą."
"Not in list of valid values.","Poza przedziałem właściwych wartości. "
"Must be a positive number.","Wartość musi być dodatnia. "
"Unsupported currency.","Obecnie obsługujemy jedynie zamówienia w euro. Prosimy o poprawienie zamówienia i o ponowienie próby."
"Amount is out of range.","Kwota jest zbyt wysoka lub niska. Prosimy o jej poprawienie lub o kontakt ze sprzedawcą."
"Invalid characters.","Nieznane znaki. "
"Maximum length of 27 characters exceeded.","Maksymalna liczba znaków przekroczona (maks. 27)."
"Invalid email address.","Zamówienie nie może zostać przeprowadzone z powodu nieprawidłowego adresu e-mail. Prosimy o jego poprawienie i o ponowienie próby."
"Invalid phone number.","Zamówienie nie może zostać przeprowadzone z powodu nieprawidłowego numeru telefonu. Prosimy o jego poprawienie i o ponowienie próby."
"Invalid country code.","Kod tego kraju nie jest obsługiwany, skontaktuj się z Twoim sprzedawcą. "
"Unsupported country code.","Podany BIC jest nieprawidłowy."
"Invalid BIC.","Zamówienie nie może zostać przeprowadzone z powodu nieprawidłowego kodu BIC (Bank Identifier Code). Prosimy o jego poprawienie i o ponowienie próby."
"Only German addresses (DE) are supported.","Zamówienie nie może zostać przeprowadzone z powodu nieprawidłowego kodu kraju. Adres wysyłki/faktury musi znajdować się w Niemczech. Prosimy o jego poprawienie i o ponowienie próby."
"Product only supports German sender accounts.","Obsługujemy jedynie konta niemieckie. Prosimy o poprawienie tego lub wybranie innej metody płatności."
"Invoice amount exceeds amount limit in factoring contract.","Całkowita kwota jest zbyt wysoka. Prosimy o poprawienie jej i o ponowienie próby."
"Invoice amount is lower than minimum amount defined in project settings.","Całkowita kwota jest zbyt niska. Prosimy o poprawienie jej i o ponowienie próby."
"Invalid tax, allowed values are: 7, 19.","Wartość dla podatku VAT nieprawidłowa. Wartości prawidłowe: 0, 7, 19."
"Validation of given bank account and bank code failed.","Walidacja konta bankowego i numeru rozliczeniowego banku nie powiodła się. "
"Maximum length of 255 characters exceeded.","Maksymalna liczba 255 znaków została przekroczona."
"Invalid items found.","Zapytanie zawiera niewłaściwe pozycje koszyka. Prosimy o poprawienie ich lub o kontakt ze sprzedawcą."
"Payment not possible with this service.","Prosimy o podanie przynajmniej właściciela konta i o ponowienie próby."
"Transaction with same data already created.","Transakcja z podanymi przez Ciebie danymi już istnieje."
"This service is currently only accessible by non-commercial customers.","Zakup na rachunek jest obecnie dostępny tylko dla klientów indywidulanych."
"Version Number","Numer wersji "
"https://images.sofort.com/de/su/landing.php","https://images.sofort.com/pl/su/landing.php"
"https://images.sofort.com/de/su/banner_150x200.png","https://images.sofort.com/pl/su/banner_150x200.png"
"https://images.sofort.com/de/sl/logo_155x50.png","https://images.sofort.com/pl/sl/logo_155x50.png"
"https://images.sofort.com/de/sl/banner_300x100.png","https://images.sofort.com/pl/sl/banner_300x100.png"
"https://images.sofort.com/de/su/logo_155x50.png","https://images.sofort.com/pl/su/logo_155x50.png"
"https://images.sofort.com/de/su/banner_400x100_ks.png","https://images.sofort.com/pl/su/banner_400x100_ks.png"
"https://images.sofort.com/de/su/banner_300x100.png","https://images.sofort.com/pl/su/banner_300x100.png"
"Kauf auf Rechnung not allowed for downloadable or virtual products","Towary wirtualne nie mogą zostać opłacone w drodze zakupu na rachunek. "
"Successfully edit invoice.","Faktura została opracowana pomyślnie. "
"Could not edit invoice.","Faktura nie może zostać opracowana. "
"The invoice has been edit.","Faktura została dopasowana. "
"quantity increase is not allowed","Nie możesz dodać więcej artykułów. "
"price increase is not allowed","Nie możesz podwyższyć ceny "
"your invoice amount will automatically be deducted from your your bank account.","Twoje konto bankowe zostanie automatycznie obciążone w drodze zlecenia zapłaty. "
"number","Numer faktury "
"bank_holder","Właściciel konta "
"bank_account_number","Numer konta"
"bank_code","Numer rozliczeniowy banku"
"bank_name","Banki "
"reason","Tytuł przelewu"
"date","Data wystawienia faktury "
"due_date","Termin płatności"
"debitor_text","Tekst do cesji wierzytelności "
"Amount increase not allowed","Kwota faktury nie może być wyższa niż kwota pierwotna."
"Amount have to be positive","Kwota faktury musi być dodatnia. "
"Invoice will be canceled","Uwaga: Faktura zostanie teraz całkowicie anulowana. "
"Old Amount:","Poprzednia cena całkowita: "
"New Amount:","Nowa cena całkowita: "
"Holding order status","Tymczasowy status zamówienia (Zdefiniuj status zamówień, dla których nie została dokonana płatność). "
"Confirmed order status","Potwierdzony status zamówienia (Zdefiniuj status zamówień, które zostały zakończone pomyślnie z SOFORFT Banking.) "
"Loss order status","Status zamówienia w przypadku niewykonania płatności (Zdefiniuj status zamówień, które podlegają sprawdzaniu.) "
"Refund order status","Status zamówienia w przypadku zwrotu (Zdefiniuj status zamówień, w przypadku których nastąpi zwrot.)"
"Unconfirmed order status","Zdefiniuj status zamówień, które muszą być potwierdzone przez sprzedawcę (w celu wykupienia wierzytelności)."
"Confirmed invoice order status","Potwierdzony status zamówienia (Zdefiniuj status zamówień, które zostały potwierdzone przez sprzedawcę.) "
"reason_help","Placeholder:<br/><ul><li>Numer zamówienia: {{ordernr}}</li><li>Klient: {{name}}</li><li>Data wystawienia faktury: {{date}}</li><li>Shopname: {{shopname}}</li><li>Transaction: {{transaction}}</li></ul>"

